field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
1296,44.60774643,12.17046406,-3,1.7,103.79,Europe
1297,43.46125983,126.9433662,243,47.4,193.3,Asia
1298,43.47666667,5.080582339,0,23.3,159.05,Europe
1300,43.30284166,116.6498353,1223,7.7,213.64,Asia
1301,43.13752224,12.10277165,253,10.3,119.38,Europe
1302,42.59279609,11.92896073,304,18.3,113.44,Europe
1304,41.96934258,87.05416385,1050,9.1,961.84,Asia
1305,41.84330878,75.15457665,3011,6.5,274.73,Asia
1314,40.95035956,108.8948363,1020,1.0,327.2,Asia
1315,40.64169135,75.30672414,3526,8.5,151.84,Asia
1316,40.61383124,64.52501136,151,3.5,106.09,Asia
1321,40.16991536,28.62460206,1,9.7,118.17,Asia
1322,40.19307671,27.96712751,14,4.8,149.39,Asia
1323,40.04002344,117.5673158,16,13.1,118.62,Asia
1324,39.85276827,64.84624122,220,3.1,183.71,Asia
1325,39.72584689,78.72491665,1111,8.4,102.82,Asia
1327,39.11335548,64.13927871,180,7.1,295.78,Asia
1331,38.86986667,93.87824976,2793,8.2,102.62,Asia
1339,38.11524312,90.7745235,2854,3.5,123.0,Asia
1344,37.5515309,89.33351979,3876,10.0,616.34,Asia
1347,37.50152683,93.94240167,2686,2.4,204.51,Asia
1350,37.14445123,96.94531832,2805,9.9,142.97,Asia
1352,37.0674056,88.42585524,4251,13.6,354.71,Asia
1353,36.96173164,95.22769625,2680,2.0,321.88,Asia
1357,36.35817695,89.39332443,4713,4.1,225.85,Asia
1359,36.01081746,116.2026479,38,8.2,139.85,Asia
1361,36.05646204,140.3266306,0,7.0,168.26,Asia
1365,36.07824273,38.06964193,302,18.2,636.77,Asia
1367,35.73481337,92.88473062,4475,16.6,261.4,Asia
1370,35.54929688,91.91671958,4753,14.7,255.38,Asia
